com,sim_content,sin_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,is_mail,comment_duplication,classifier_val
UgzjeILipFb1xAIipBR4AaABAg,0.2937022835804232,0.3447920027102766,11,0.0,2,79,0,0,0.09090909090909091,6223.316666666667,2,0,0,0,0,0,0
Ugxx_8Ct1Wk36Sb6VYZ4AaABAg,0.2666558862742164,0.32173058403720156,12,0.0,1,78,0,0,0.08333333333333333,6177.116666666667,0,0,0,0,0,0,0
UgwY97nwXNqOL0S6BHt4AaABAg,0.1430289601410123,0.1346217676667967,16,0.0,3,107,5,0,0.0,6085.5,0,1,1,0,0,0,1
Ugxh2ed-p6q11GuBAjN4AaABAg,0.235639691905245,0.2943589860315567,8,0.0,2,47,0,0,0.0,6077.45,1,0,0,0,0,0,0
Ugxw0lAgX_wFUchY_Jh4AaABAg,0.43500498684711053,0.4372690238580568,66,0.13636363636363635,6,354,1,1,0.07575757575757576,6054.466666666666,5,0,0,0,0,0,0
UgzIPyB7G7CYgMIJd8p4AaABAg,0.30503454580427114,0.3653183383591813,9,0.11111111111111116,1,64,0,0,0.2222222222222222,6042.266666666666,2,0,0,0,0,0,0
Ugy5nThC00K1it5SuqV4AaABAg,0.24420769717674004,0.3046191745591417,9,0.0,1,50,0,1,0.1111111111111111,6040.583333333333,0,0,0,0,0,0,0
UgxyYQFkPXXQIcwedlF4AaABAg,0.25426791949151734,0.2672051929387449,6,0.0,1,38,0,0,0.0,6038.916666666667,0,0,0,0,0,0,1
UgzdBW5GoJ32FJuYrfZ4AaABAg,0.25456455656800264,0.2611535969629056,20,0.15000000000000002,2,105,0,0,0.0,6017.033333333334,0,0,0,0,0,0,0
UgyR94NGLYlecrO8X5B4AaABAg,0.18072731960889166,0.23186486292522915,11,0.0,3,59,0,1,0.0,5997.133333333333,2,0,0,0,0,0,0
UgxIuuBZIctvsGiDSNt4AaABAg,0.43055440645873483,0.46569939643938607,31,0.09677419354838712,6,179,0,1,0.12903225806451613,5985.133333333333,3,0,0,0,0,0,0
UgzGzt4iMmxPyyrBusl4AaABAg,0.34045185304151576,0.3274391649333681,13,0.0,1,68,0,1,0.0,5960.75,1,0,0,0,0,0,0
UgwrVAeshHBsOjvQZqN4AaABAg,0.20535035014359634,0.2648036023345132,10,0.0,2,55,0,0,0.2,5958.166666666667,0,0,0,0,0,0,0
UgwKMTzYbYAkMCM7m-94AaABAg,0.23550133551617988,0.3010587571282183,6,0.0,1,35,0,0,0.5,5946.983333333334,0,0,0,0,0,0,0
